"CBC;RBC (Red Blood Cells);Low;""1. Punarnava Mandur: Take 2 tablets (500 mg each) twice daily after meals with warm water for 8 weeks — classical iron-rich Ayurvedic formulation that directly stimulates RBC production in bone marrow. | 2. Shatavari Churna: Take 5 g with warm milk twice daily (morning and bedtime) for 8 weeks — a potent Rasayana that nourishes Rakta Dhatu and promotes erythropoiesis. | 3. Guduchi Swarasa: Take 20 ml fresh Guduchi juice with equal water every morning on empty stomach for 6 weeks — powerful immunomodulator that corrects RBC quantitative deficiency. | 4. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks — rich multi-herb formulation that enhances haematopoiesis and RBC longevity. | 5. Mandur Bhasma: Take 250 mg twice daily with buttermilk after meals for 6–8 weeks under physician supervision — directly stimulates red blood cell formation in bone marrow. | 6. Vidarikanda Churna: Take 3 g with warm milk at bedtime for 6 weeks — nourishes Rakta Dhatu and improves bone marrow vitality. | 7. Dhatri Lauha: Take 250 mg twice daily after meals with honey for 6 weeks — combines Amla and iron to directly stimulate RBC production."";""1. Practice Kapalbhati Pranayama for 10–15 minutes daily — stimulates bone marrow and spleen", primary organs of RBC production. | 2. Perform Yoga Nidra for 20–30 minutes daily to rejuvenate bone marrow and nervous system. | 3. Brisk walking for 30–45 minutes daily stimulates kidneys to release erythropoietin (EPO) triggering RBC production. | 4. Avoid overwork, excessive physical exertion," and dehydration — these cause Dhatu Kshaya (tissue depletion) directly reducing RBC count. | 5. Maintain consistent mealtimes to keep Agni strong for proper nutrient assimilation. | 6. Avoid alcohol completely — directly toxic to bone marrow and suppresses RBC production. | 7. Manage stress through daily 15–20 minutes meditation — chronic stress suppresses haematopoiesis."";""1. Eat dark green leafy vegetables daily — rich in folate essential for RBC maturation and DNA synthesis. | 2. Include Vitamin B12 sources: dairy", eggs, and for non-vegetarians goat liver once a week. | 3. Consume copper-rich foods: sesame seeds, cashews, lentils — copper is essential for iron conversion into haemoglobin. | 4. Drink 2.5–3 litres of water daily — dehydration reduces plasma volume and impairs erythropoietin release. | 5. Eat 5–7 soaked almonds daily — rich in Vitamin E and copper," they protect RBC membranes from oxidative damage. | 6. Include beetroot juice (200 ml) daily — directly supports haematopoiesis and bone marrow activity. | 7. Avoid refined sugar and processed carbohydrates — promote oxidative stress which destroys RBCs prematurely.""",,,,,,,,,,,,,,,,,,,,
"Lipid Profile;Non-HDL Cholesterol;High;""1. Guggulu Capsules: Take 500 mg twice daily after meals for 12 weeks. | 2. Arjuna Churna: Take 3 g twice daily for 12 weeks. | 3. Triphala Churna: Take 5 g at bedtime for 8 weeks. | 4. Garlic: 2–3 raw cloves every morning. | 5. Methi Seeds: Every morning soaked."";""Exercise 45–60 minutes daily. Eliminate trans fats and refined carbohydrates. Manage stress. Quit smoking."";""Increase soluble fibre. Reduce refined carbohydrates. Eat anti-dyslipidaemic foods: garlic", onions, flaxseeds," walnuts.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Bilirubin Total;Low;""1. Note: Low bilirubin below 0.1 mg/dL is rarely significant. Shatavari Churna: Take 5 g twice daily with warm milk for 6 weeks to support liver health."";""Maintain general liver health. Follow Dinacharya."";""Eat liver-supporting foods: beetroot", carrots," leafy greens.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Bilirubin Total;High;""1. Bhumyamalaki (Phyllanthus niruri) Capsules: Take 500 mg twice daily after meals for 8 weeks — the premier Ayurvedic hepatoprotective herb; directly reduces elevated bilirubin by improving liver cell function and bile flow. | 2. Katuki (Picrorhiza kurroa) Capsules: Take 250 mg twice daily after meals for 6 weeks — potent Pitta-pacifying hepatoprotective that improves bile duct clearance and reduces bilirubin. | 3. Arogyavardhini Vati: Take 250 mg twice daily after meals with warm water for 6 weeks — classical liver rejuvenating formulation that reduces bilirubin and improves hepatic cell function. | 4. Punarnava Churna: Take 3 g with warm water twice daily for 8 weeks — liver-protective diuretic that reduces bilirubin through improved biliary and renal clearance. | 5. Triphala Churna: Take 5 g with warm water at bedtime for 6 weeks — improves bile flow and gut clearance of bilirubin."";""1. Rest completely — jaundice (elevated bilirubin) requires physical rest as the liver cannot perform metabolic functions normally during hepatic stress. | 2. Avoid all alcohol without exception — even a small amount dramatically worsens bilirubin elevation. | 3. Avoid all hepatotoxic medications: paracetamol beyond 500 mg/day", NSAIDs, antibiotics unless essential — review all medications with physician. | 4. Avoid prolonged fasting — the liver requires glucose to support detoxification pathways. | 5. Rest in a cool," calm environment — avoid physical exertion and emotional stress which increase metabolic demand on the liver."";""1. Follow a light", easily digestible diet exclusively: plain rice (kanji/congee), moong dal soup, coconut water, and steamed vegetables — do not eat fried or heavy foods. | 2. Drink fresh sugarcane juice (150 ml) twice daily — classical Ayurvedic food for reducing jaundice and protecting the liver. | 3. Consume radish juice (mooli swarasa) — 30 ml twice daily on empty stomach — classically used in Ayurveda (Moolikasava) to reduce bilirubin. | 4. Drink barley water (jau ka pani) throughout the day — demulcent and hepatoprotective. | 5. Avoid all oily, fried, spicy," and processed foods completely until bilirubin normalises.""",,,,,,,,,,,,,,,,,,
"Liver;Bilirubin Direct;Low;""Note: Low direct bilirubin has no clinical significance."";""No specific recommendation needed."";""Maintain a balanced"," liver-friendly diet.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Bilirubin Direct;High;""1. Bhumyamalaki Capsules: Take 500 mg twice daily after meals for 8 weeks — reduces conjugated (direct) bilirubin by improving hepatocyte function and bile duct flow. | 2. Katuki Capsules: Take 250 mg twice daily after meals for 6 weeks — improves intrahepatic bile flow reducing direct bilirubin. | 3. Arogyavardhini Vati: Take 250 mg twice daily for 6 weeks — classical hepatoprotective. | 4. Kalmegh (Andrographis paniculata) Capsules: Take 400 mg twice daily for 6 weeks — potent hepatoprotective reducing intra-hepatic cholestasis causing elevated direct bilirubin."";""1. Avoid all alcohol and hepatotoxic medications. | 2. Rest adequately. | 3. Avoid prolonged fasting. | 4. Avoid high-fat and fried foods."";""1. Drink fresh sugarcane juice twice daily. | 2. Eat light easily digestible foods: moong dal soup", rice kanji, steamed vegetables. | 3. Drink barley water throughout the day. | 4. Avoid completely: alcohol, fried foods, processed foods," and red meat.""",,,,,,,,,,,,,,,,,,,,,,,
"Liver;Bilirubin Indirect;High;""1. Guduchi Swarasa: Take 20 ml with equal water every morning for 6 weeks — reduces haemolysis and inflammatory bilirubin production. | 2. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks. | 3. Punarnava Churna: Take 3 g twice daily for 8 weeks — improves RBC stability and liver clearance of bilirubin. | 4. Note: High indirect bilirubin suggests haemolysis or Gilbert syndrome — physician evaluation required."";""1. Rule out haemolytic anaemia and Gilbert syndrome with physician. | 2. Avoid dehydration — worsens unconjugated bilirubin elevation. | 3. Stay well hydrated."";""1. Eat foods that reduce haemolysis: antioxidant-rich fruits and vegetables. | 2. Stay well hydrated. | 3. Avoid iron excess supplementation.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;SGOT (AST);High;""1. Bhumyamalaki (Phyllanthus niruri) Capsules: Take 500 mg twice daily after meals for 8–12 weeks — the most validated Ayurvedic liver enzyme normaliser; significantly reduces SGOT in clinical trials. | 2. Kalmegh Capsules: Take 400 mg twice daily after meals for 8 weeks — potent hepatoprotective reducing hepatocellular damage causing SGOT elevation. | 3. Arogyavardhini Vati: Take 250 mg twice daily after meals for 8 weeks — classical liver rejuvenating formulation. | 4. Liv 52 (Himalaya) or equivalent: Take 2 tablets twice daily after meals for 12 weeks — well-researched polyherbal formulation clinically proven to reduce liver enzymes. | 5. Turmeric Milk: Every night for 12 weeks — curcumin reduces hepatic inflammation and normalises transaminases."";""1. Avoid alcohol completely — single most common cause of elevated SGOT. | 2. Avoid hepatotoxic medications: paracetamol in excess", NSAIDs," statins at high doses — review all medications with physician. | 3. Avoid obesity-promoting lifestyle — non-alcoholic fatty liver disease (NAFLD) is the most common cause of mild SGOT elevation. | 4. Exercise for 30–40 minutes daily — reduces liver fat and normalises enzymes. | 5. Avoid fasting for more than 12 hours — starvation damages liver cells."";""1. Eat liver-supportive foods: beetroot (raw 50 g daily)", carrots, leafy greens, garlic, and turmeric at every meal. | 2. Eat cruciferous vegetables (broccoli, cabbage, cauliflower) — contain sulforaphane that upregulates liver detoxification enzymes. | 3. Avoid fried and processed foods. | 4. Drink warm lemon water (1 glass with juice of half a lemon) every morning on empty stomach. | 5. Avoid excess fructose: soft drinks, fruit juices," and high-sugar foods — directly cause liver fat accumulation. | 6. Include milk thistle (Silymarin) seeds powder (5 g daily) — a proven liver enzyme normaliser.""",,,,,,,,,,,,,,,,,,
"Liver;SGPT (ALT);High;""1. Bhumyamalaki Capsules: Take 500 mg twice daily after meals for 8–12 weeks. | 2. Kalmegh Capsules: Take 400 mg twice daily for 8 weeks. | 3. Arogyavardhini Vati: Take 250 mg twice daily for 8 weeks. | 4. Liv 52 or equivalent: Take 2 tablets twice daily for 12 weeks. | 5. Turmeric Milk: Every night for 12 weeks. | 6. Silymarin (Milk Thistle) Powder: Take 5 g with warm water daily for 8 weeks — most potent liver enzyme normaliser."";""Same as SGOT High — avoid alcohol", hepatotoxic medications," and obesity-promoting lifestyle. Exercise 30–40 minutes daily."";""Same as SGOT High — eat liver-supportive foods", avoid fructose and fried foods," drink warm lemon water every morning.""",,,,,,,,,,,,,,,,,,,,,,,,
"Liver;ALP (Alkaline Phosphatase);Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — supports bone and liver metabolism. | 2. Note: Very low ALP may indicate hypothyroidism", zinc deficiency," or cardiac bypass — consult physician."";""1. Ensure adequate zinc and magnesium intake. | 2. Rule out hypothyroidism. | 3. Maintain general health through Dinacharya."";""1. Eat zinc-rich foods: pumpkin seeds", sesame, and lentils. | 2. Eat magnesium-rich foods: dark chocolate, nuts," spinach. | 3. Ensure adequate protein intake.""",,,,,,,,,,,,,,,,,,,,,,
"Liver;ALP (Alkaline Phosphatase);High;""1. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — reduces hepatic ALP elevation. | 2. Punarnava Churna: Take 3 g twice daily for 8 weeks — reduces biliary congestion causing elevated ALP. | 3. Arogyavardhini Vati: Take 250 mg twice daily for 6 weeks. | 4. Note: Very high ALP may indicate bone disease", biliary obstruction," or liver disease — physician evaluation mandatory. | 5. Turmeric Milk: Every night for 8 weeks."";""1. Physician evaluation is mandatory for markedly elevated ALP. | 2. Avoid alcohol. | 3. Avoid hepatotoxic medications. | 4. Ensure adequate Vitamin D — ALP elevation can indicate bone metabolism issues linked to Vitamin D deficiency."";""1. Eat liver-supportive foods: beetroot", carrots, leafy greens, turmeric. | 2. Ensure adequate Vitamin D foods: dairy, eggs," fortified foods. | 3. Avoid fried and processed foods. | 4. Drink warm lemon water every morning.""",,,,,,,,,,,,,,,,,,,,,
"Liver;GGT (Gamma Glutamyl Transferase);High;""1. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — reduces GGT by protecting hepatocytes from oxidative damage. | 2. Silymarin Powder: Take 5 g daily with warm water for 8 weeks — most potent antioxidant hepatoprotective normalising GGT. | 3. Turmeric Milk: Every night for 12 weeks. | 4. Note: GGT is exquisitely sensitive to alcohol — elevated GGT in an otherwise normal liver panel almost always means alcohol consumption."";""1. Eliminate alcohol completely — GGT is the most sensitive marker of alcohol consumption. | 2. Avoid hepatotoxic medications. | 3. Lose weight if overweight — NAFLD raises GGT. | 4. Exercise 30–40 minutes daily."";""1. Eat antioxidant-rich foods: turmeric", garlic, berries, and leafy greens. | 2. Avoid fried foods, sugar," and processed carbohydrates. | 3. Include cruciferous vegetables daily.""",,,,,,,,,,,,,,,,,,,,,,,
"Liver;Total Protein;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — promotes protein synthesis and reduces protein catabolism. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — Rasayana that builds all Dhatus including plasma proteins. | 3. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — improves liver function for protein synthesis."";""1. Address underlying liver disease with physician — the liver synthesises most serum proteins. | 2. Ensure adequate protein intake. | 3. Address any malabsorption or nephrotic syndrome. | 4. Avoid alcohol."";""1. Eat high-quality protein at every meal: dal", legumes, paneer, curd, eggs," and chicken/fish for non-vegetarians. | 2. Include Ashwagandha in warm milk daily for protein anabolism. | 3. Eat small frequent protein-rich meals.""",,,,,,,,,,,,,,,,,,,,,,,
"Liver;Total Protein;High;""1. Triphala Churna: Take 5 g at bedtime for 6 weeks — reduces inflammatory protein production (globulins). | 2. Guduchi Swarasa: Take 20 ml every morning for 6 weeks — reduces chronic inflammatory states driving elevated globulins. | 3. Note: High total protein usually reflects elevated globulins from chronic infection or multiple myeloma — physician evaluation is essential."";""1. Physician evaluation is mandatory for markedly elevated total protein. | 2. Identify and treat underlying chronic infection or inflammatory condition. | 3. Adequate hydration."";""1. Stay well hydrated. | 2. Eat anti-inflammatory foods. | 3. Reduce protein supplements if being used.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Albumin;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 12 weeks — most potent protein anabolic herb in Ayurveda; directly improves albumin synthesis. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 12 weeks. | 3. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — improves hepatocyte function for albumin production. | 4. Arogyavardhini Vati: Take 250 mg twice daily for 8 weeks — liver rejuvenation. | 5. Satavari Kalpa (herbal granules): Take 10 g with warm milk twice daily for 12 weeks."";""1. Address underlying cause: liver cirrhosis", nephrotic syndrome," or malnutrition require physician-guided treatment. | 2. Eat protein-rich meals consistently — albumin synthesis requires constant dietary protein supply. | 3. Avoid alcohol — directly suppresses hepatic albumin synthesis. | 4. Rest adequately to reduce protein catabolism."";""1. Eat high-quality protein at every meal: moong dal", masoor dal, paneer, curd," and eggs. | 2. Take Ashwagandha in warm milk daily. | 3. Eat small frequent protein meals every 3–4 hours. | 4. Include healthy fats with protein — improves amino acid absorption. | 5. Avoid sugar and refined carbohydrates — redirect caloric intake toward protein.""",,,,,,,,,,,,,,,,,,,,,,
"Liver;Albumin;High;""Note: Elevated albumin almost always indicates dehydration"," not a primary pathological state. Drink 3–3.5 litres of water daily to normalise. Triphala Churna: Take 5 g at bedtime for 4 weeks."";""Increase hydration to 3–3.5 litres daily."";""Stay well hydrated. Eat hydrating foods: cucumber", coconut water," buttermilk.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Globulin;Low;""1. Guduchi Ghanvati: Take 500 mg twice daily for 6 weeks — stimulates immunoglobulin (gamma globulin) production. | 2. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks. | 3. Chyawanprash: Take 2 teaspoons with warm milk every morning for 12 weeks."";""1. Investigate for immunodeficiency with physician. | 2. Improve general immune health through Dinacharya", Abhyanga," and Pranayama. | 3. Ensure adequate protein intake."";""1. Eat protein-rich foods at every meal. | 2. Include probiotic foods: curd and buttermilk. | 3. Include Tulsi and garlic daily for immune stimulation.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;Globulin;High;""1. Guduchi Swarasa: Take 20 ml every morning for 6 weeks — reduces chronic inflammatory protein production. | 2. Triphala Churna: Take 5 g at bedtime for 6 weeks. | 3. Note: Very high globulin requires physician evaluation for multiple myeloma", chronic hepatitis," or autoimmune disease."";""1. Identify and treat underlying chronic infection or inflammation. | 2. Practice stress management. | 3. Avoid alcohol."";""1. Eat anti-inflammatory foods. | 2. Avoid processed and fried foods. | 3. Stay well hydrated.""",,,,,,,,,,,,,,,,,,,,,,,,,,
"Liver;A:G Ratio;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 12 weeks — raises albumin component. | 2. Bhumyamalaki Capsules: Take 500 mg twice daily for 8 weeks — improves hepatic albumin synthesis. | 3. Guduchi Swarasa: Take 20 ml every morning for 6 weeks — reduces inflammatory globulin component."";""Treat the underlying cause (low albumin + high globulin). Avoid alcohol. Eat protein-rich diet."";""Increase protein intake. Treat underlying inflammation.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;Creatinine;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — increases muscle mass and creatine metabolism"," normalising low creatinine. | 2. Bala Churna: Take 3 g with warm milk twice daily for 8 weeks — builds Mamsa Dhatu (muscle tissue). | 3. Note: Low creatinine usually reflects low muscle mass or malnutrition — not a kidney problem."";""1. Include muscle-building resistance exercise 3–4 times per week. | 2. Ensure adequate dietary protein. | 3. Rule out severe muscle wasting conditions with physician."";""1. Eat adequate protein at every meal for muscle maintenance. | 2. Include creatine-naturally-rich foods: dairy and meat (non-vegetarians). | 3. Eat 5–7 soaked almonds and 4–5 walnuts daily.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;Creatinine;High;""1. Punarnava Churna: Take 3 g with warm water twice daily for 12 weeks — the premier Ayurvedic nephroprotective herb"," clinically validated to reduce serum creatinine and protect kidneys. | 2. Gokshura (Tribulus terrestris) Churna: Take 3 g with warm water twice daily for 12 weeks — stimulates GFR and increases renal clearance of creatinine. | 3. Varunadi Kwath: Take 30 ml with equal warm water twice daily for 8 weeks — classical Ayurvedic kidney rejuvenating decoction. | 4. Chandraprabha Vati: Take 2 tablets twice daily after meals with warm water for 8 weeks — reduces creatinine by improving glomerular filtration. | 5. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — nephroprotective Rasayana. | 6. Triphala Churna: Take 5 g at bedtime for 8 weeks — supports kidney detoxification."";""1. Drink 2.5–3 litres of water daily — adequate hydration is the most critical lifestyle step for reducing creatinine by supporting glomerular filtration. | 2. Avoid NSAIDs (ibuprofen"," diclofenac) completely — directly nephrotoxic. | 3. Control blood pressure and diabetes strictly — both are the leading causes of kidney damage. | 4. Reduce protein intake moderately — excess protein increases creatinine production. | 5. Avoid strenuous exercise temporarily — intense exercise causes transient creatinine elevation. | 6. Avoid contrast dyes for imaging if kidney function is compromised."";""1. Follow a kidney-friendly low-protein", low-phosphorus diet: reduce red meat significantly and shift to plant proteins (moong dal, masoor dal). | 2. Reduce sodium intake — excess salt worsens hypertension-driven kidney damage. | 3. Avoid high-potassium foods if eGFR is low: bananas, tomatoes, potatoes," oranges — consult physician for personalised guidance. | 4. Drink barley water (jau ka pani) throughout the day — classical Ayurvedic nephroprotective drink. | 5. Eat Punarnava leaves as a vegetable or in dal 2–3 times weekly — a powerful kidney herb that can be consumed as food. | 6. Drink coconut water (200 ml) daily — reduces kidney stone risk and supports renal clearance.""",,,,,,,,,,,,,,,,,,,,,
"Renal;eGFR;Low;""1. Punarnava Churna: Take 3 g twice daily for 12 weeks — improves GFR by stimulating renal blood flow and glomerular function. | 2. Gokshura Churna: Take 3 g twice daily for 12 weeks — increases GFR. | 3. Chandraprabha Vati: Take 2 tablets twice daily for 8 weeks. | 4. Varunadi Kwath: Take 30 ml with equal water twice daily for 8 weeks."";""1. Control blood pressure and diabetes urgently — the primary drivers of declining GFR. | 2. Drink 2.5–3 litres water daily. | 3. Avoid nephrotoxic drugs. | 4. Maintain healthy weight. | 5. Moderate exercise 30 minutes daily."";""1. Follow a kidney-friendly diet with reduced protein and sodium. | 2. Drink barley water throughout the day. | 3. Eat Punarnava leaves regularly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;Urea;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — increases protein metabolism naturally raising urea to normal levels. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks. | 3. Note: Low urea may indicate malnutrition", severe liver disease," or overhydration — physician evaluation is important."";""1. Ensure adequate protein intake. | 2. Rule out liver disease with physician. | 3. Avoid excessive water intake (overhydration). | 4. Ensure regular balanced meals."";""1. Eat adequate protein at every meal: dal", legumes, paneer, curd," eggs. | 2. Avoid excessive water intake beyond 3 litres daily. | 3. Eat well-balanced meals without skipping.""",,,,,,,,,,,,,,,,,,,,,,
"Renal;Urea;High;""1. Punarnava Churna: Take 3 g twice daily for 12 weeks — improves renal clearance of urea. | 2. Gokshura Churna: Take 3 g twice daily for 12 weeks — diuretic that promotes urea excretion. | 3. Chandraprabha Vati: Take 2 tablets twice daily for 8 weeks. | 4. Triphala Churna: Take 5 g at bedtime for 8 weeks — reduces gut-derived urea through improved gut flora. | 5. Varunadi Kwath: Take 30 ml with equal water twice daily for 8 weeks."";""1. Drink 3 litres of water daily — adequate hydration is critical for urea clearance. | 2. Reduce protein intake moderately. | 3. Control blood pressure and diabetes. | 4. Avoid nephrotoxic drugs."";""1. Reduce protein intake modestly: shift to plant proteins (dal"," legumes) from animal proteins. | 2. Drink barley water throughout the day. | 3. Eat Punarnava leaves 2–3 times weekly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;BUN (Blood Urea Nitrogen);Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks. | 2. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks. | 3. Note: Low BUN indicates same conditions as low Urea — malnutrition or liver disease."";""Same as Urea Low."";""Same as Urea Low — ensure adequate protein intake.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;BUN (Blood Urea Nitrogen);High;""1. Punarnava Churna: Take 3 g twice daily for 12 weeks. | 2. Gokshura Churna: Take 3 g twice daily for 12 weeks. | 3. Chandraprabha Vati: Take 2 tablets twice daily for 8 weeks. | 4. Triphala Churna: Take 5 g at bedtime for 8 weeks."";""Same as Urea High."";""Same as Urea High.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;BUN/Creatinine Ratio;Low;""1. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — increases muscle mass and protein metabolism normalising ratio. | 2. Note: Low ratio suggests low protein intake or liver disease — physician evaluation."";""Ensure adequate protein intake. Rule out liver disease."";""Eat adequate protein at every meal.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;BUN/Creatinine Ratio;High;""1. Punarnava Churna: Take 3 g twice daily for 12 weeks — improves renal perfusion. | 2. Gokshura Churna: Take 3 g twice daily for 12 weeks. | 3. Note: High ratio suggests prerenal azotaemia (dehydration) or GI bleeding — address underlying cause urgently."";""1. Increase fluid intake urgently to 3 litres daily — dehydration is the most common cause of high BUN/Creatinine ratio. | 2. Rule out GI bleeding with physician. | 3. Avoid diuretics without physician guidance."";""1. Drink 3 litres of water daily. | 2. Eat easily digestible"," high-fluid-content foods. | 3. Drink coconut water and barley water daily.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;Uric Acid;Low;""1. Note: Low uric acid is rarely clinically significant. Maintain general health through Dinacharya."";""Maintain general health. Consult physician if neurological symptoms are present."";""Maintain a balanced"," diverse diet.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renal;Uric Acid;High;""1. Giloy (Guduchi) Swarasa: Take 20 ml with equal water every morning on empty stomach for 8 weeks — reduces uric acid by improving renal clearance and reducing purine metabolism. | 2. Punarnava Churna: Take 3 g with warm water twice daily for 8 weeks — reduces uric acid through enhanced renal excretion. | 3. Shallaki (Boswellia) Capsules: Take 400 mg twice daily after meals for 8 weeks — reduces gout-related joint inflammation from elevated uric acid. | 4. Haridra (Turmeric) Capsules: Take 500 mg twice daily after meals for 8 weeks — reduces uric acid-induced inflammatory response. | 5. Gokshura Churna: Take 3 g twice daily for 8 weeks — increases renal uric acid excretion. | 6. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — renal protective and anti-inflammatory."";""1. Drink 3–4 litres of water daily — increased fluid intake is the single most important intervention to prevent uric acid crystal deposition and promote renal excretion. | 2. Avoid alcohol completely — especially beer", which is extremely high in purines and simultaneously reduces renal uric acid clearance. | 3. Avoid fasting and crash diets — starvation causes rapid purine release from cell breakdown," dramatically spiking uric acid. | 4. Exercise moderately (walking 30–40 minutes daily) — intense exercise temporarily raises uric acid; moderation is key. | 5. Lose weight if overweight — adipose tissue produces uric acid; weight loss reduces levels. | 6. Elevate affected joint during gout attacks and apply cool Guduchi paste locally."";""1. Eliminate high-purine foods: organ meats (liver", kidney, brain), red meat, shellfish, anchovies, sardines, and mackerel. | 2. Avoid alcohol, especially beer. | 3. Avoid high-fructose foods: soft drinks, fruit juices, and high-sugar snacks — fructose is a purine precursor. | 4. Eat cherries and cherry juice — proanthocyanidins in cherries clinically reduce uric acid and gout attacks. | 5. Include low-fat dairy (buttermilk," curd) — dairy proteins increase renal uric acid excretion. | 6. Eat celery seeds (ajmoda) daily — a natural uricosuric agent. | 7. Drink warm water with 1/4 teaspoon baking soda once daily (with physician guidance) — alkalises urine promoting uric acid excretion.""",,,,,,,,,,,,,,,
"Renal;Calcium;Low;""1. Praval Pishti: Take 250 mg twice daily after meals with honey for 8 weeks — the finest Ayurvedic coral-calcium preparation; bioavailable calcium that directly raises serum calcium. | 2. Ashwagandha Churna: Take 5 g with warm milk at bedtime for 8 weeks — improves Vitamin D metabolism and calcium absorption. | 3. Shatavari Churna: Take 5 g with warm milk twice daily for 8 weeks — supports hormonal balance for calcium metabolism. | 4. Guduchi Swarasa: Take 20 ml every morning on empty stomach for 6 weeks — improves gut absorption of calcium. | 5. Sesame Seeds: Eat 2 tablespoons of roasted sesame seeds daily — among the highest natural sources of calcium (975 mg/100g). | 6. Vitamin D correction is mandatory (see Vitamin D Low) — without adequate Vitamin D"," dietary and supplemental calcium cannot be absorbed effectively."";""1. Sunlight exposure for 30–45 minutes daily (before 9 AM) — Vitamin D from sunlight is mandatory for calcium absorption; no dietary intervention works without Vitamin D. | 2. Practice weight-bearing exercise (brisk walking", yoga with standing poses) for 30 minutes daily — mechanical loading increases calcium deposition in bones. | 3. Avoid excessive caffeine and alcohol — both increase urinary calcium excretion, worsening hypocalcaemia. | 4. Reduce oxalate-rich foods (spinach," beets) eaten at the same time as calcium-rich foods — oxalates bind calcium preventing absorption. | 5. Avoid smoking — impairs Vitamin D metabolism reducing calcium absorption."";""1. Eat calcium-rich foods at every meal: dairy (cow milk", paneer, curd — each contains 300–400 mg calcium per serving), ragi (finger millet — 344 mg per 100 g, the highest calcium grain), sesame seeds, drumstick leaves," and amaranth. | 2. Prepare calcium-rich ragi porridge every morning: cook 50 g ragi flour in 400 ml warm milk — this single preparation provides over 600 mg bioavailable calcium. | 3. Eat Praval Pishti-enriched milk: add 250 mg Praval Pishti to warm milk every night before bed. | 4. Ensure Vitamin D is corrected simultaneously — calcium supplementation alone without Vitamin D is ineffective. | 5. Avoid phytate-rich unprocessed grains at the same time as calcium-rich foods — soak and sprout all grains and legumes.""",,,,,,,,,,,,,,,,,
"Renal;Calcium;High;""1. Triphala Churna: Take 5 g with warm water at bedtime for 8 weeks — reduces gut calcium absorption and improves renal excretion. | 2. Punarnava Churna: Take 3 g twice daily for 8 weeks — diuretic that increases urinary calcium excretion. | 3. Note: High serum calcium (hypercalcaemia) requires urgent physician evaluation — may indicate hyperparathyroidism or malignancy; Ayurvedic remedies are supportive only."";""1. Physician evaluation is urgent for hypercalcaemia. | 2. Drink 3–4 litres of water daily to promote renal calcium excretion. | 3. Avoid all calcium supplements and Vitamin D supplements until calcium normalises. | 4. Avoid prolonged immobility — increases bone calcium release into blood."";""1. Avoid calcium-rich foods temporarily: dairy", sesame seeds, ragi. | 2. Avoid Vitamin D supplementation until calcium normalises. | 3. Stay well hydrated. | 4. Eat oxalate-rich foods: spinach," beetroot — these bind gut calcium reducing absorption (opposite of low calcium advice).""",,,,,,,,,,,,,,,,,,,,,,,,,
